group,pct_lesshs,pct_hsged,pct_bahigher
US Total,0.1233625163255969,0.27130406936913964,0.3152588219359642
Asian American,0.1317840688218303,0.14812713413973197,0.534878715016934
Pacific Islander,0.13103161283787298,0.3562966958054881,0.17327788470225564
