"",".","",""
"","b","min95","max95"
"less HS",".1111293",".106919",".1153397"
"HS or GED",".3128644",".3064463",".3192825"
"ba higher",".2313274",".2256455",".2370092"
"4",".3446789",".3381141",".3512437"
"Total","1","1","1"
